system:index,NDVI_2024,TreeID,.geo
0_0,0.1587331,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23901585455539,37.40364755829078]}"
1_0,0.24939585,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23901585455539,37.40625267261473]}"
2_0,0.23875433,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23901585455539,37.40652216719997]}"
3_0,0.23242009,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23901585455539,37.40688149331361]}"
4_0,0.057608265,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23497343577685,37.40688149331361]}"
5_0,0.06921348,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23398528896432,37.40688149331361]}"
6_0,0.07452848,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22796657656072,37.40706115637044]}"
7_0,0.05271056,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22697842974819,37.407420482484085]}"
8_0,0.033790305,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22500213612312,37.40921711305232]}"
9_0,0.09572301,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22599028293565,37.405534020387435]}"
10_0,0.08489773,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22500213612312,37.405534020387435]}"
11_0,0.08588351,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23102084852673,37.399066150341774]}"
12_0,0.090268604,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23102084852673,37.39897631881336]}"
13_0,0.103659876,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23398528896432,37.398796655756534]}"
14_0,0.034629524,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22500213612312,37.40912728152391]}"
15_0,0.24880785,111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.24198029499298,37.405713683444255]}"
